server_lr,client_lr,server_wd,client_wd,epoch,num_client,client_in,client_hgc,client_out,client_dropout,server_hgc,server_out,server_dropout,time_out,time_lg,seed,time,device,ACC,AUC,SEN,SPE,F1
0.0001,0.0001,0.0001,0.0001,150,4,512,128,11,0.5,160,2,0.5,64,2,1000,23_06_16_22_05_58,cuda,67.55813953,70.86716184,70.59841047,64.08227848,69.84516515
0.0001,0.0001,0.0001,0.0001,150,4,512,128,11,0.5,192,2,0.5,64,2,1000,23_06_16_22_47_09,cuda,66.86046512,70.53496177,79.66339411,52.03164557,72.00783051
0.0001,0.0001,0.0001,0.0001,150,4,512,128,11,0.5,224,2,0.5,64,2,1000,23_06_16_23_28_10,cuda,68.37209302,72.35370434,71.85600748,64.29113924,70.82744038
0.0001,0.0001,0.0001,0.0001,150,4,512,128,11,0.5,256,2,0.5,64,2,1000,23_06_17_00_07_49,cuda,67.6744186,72.13868183,70.56334736,64.31329114,70.10240232
0.0001,0.0001,0.0001,0.0001,150,4,512,128,12,0.5,32,2,0.5,64,2,1000,23_06_17_00_48_27,cuda,55.58139535,55.89190001,95.44647031,9.316455696,69.73253198
0.0001,0.0001,0.0001,0.0001,150,4,512,128,12,0.5,64,2,0.5,64,2,1000,23_06_17_01_29_23,cuda,62.79069767,63.60951657,83.94576905,38.19620253,70.69706705
0.0001,0.0001,0.0001,0.0001,150,4,512,128,12,0.5,96,2,0.5,64,2,1000,23_06_17_02_08_54,cuda,66.04651163,68.54532888,77.90556335,52.21202532,71.14573427
0.0001,0.0001,0.0001,0.0001,150,4,512,128,12,0.5,128,2,0.5,64,2,1000,23_06_17_02_49_10,cuda,68.48837209,71.58144832,75.52127162,60.24367089,71.92778775
0.0001,0.0001,0.0001,0.0001,150,4,512,128,12,0.5,160,2,0.5,64,2,1000,23_06_17_03_29_01,cuda,68.48837209,70.5633333,75.95839177,59.75632911,72.00661303
0.0001,0.0001,0.0001,0.0001,150,4,512,128,12,0.5,192,2,0.5,64,2,1000,23_06_17_04_08_19,cuda,68.60465116,71.87587621,80.69892473,54.44936709,73.38044345
0.0001,0.0001,0.0001,0.0001,150,4,512,128,12,0.5,224,2,0.5,64,2,1000,23_06_17_04_49_05,cuda,70,72.3904949,76.3884993,62.52848101,72.99345771
0.0001,0.0001,0.0001,0.0001,150,4,512,128,12,0.5,256,2,0.5,64,2,1000,23_06_17_05_28_59,cuda,67.20930233,71.02233443,67.51753156,66.7943038,68.81870036
0.0001,0.0001,0.0001,0.0001,150,4,512,128,13,0.5,32,2,0.5,64,2,1000,23_06_17_06_08_06,cuda,59.53488372,57.15987189,87.00093502,27.64240506,69.80775942
0.0001,0.0001,0.0001,0.0001,150,4,512,128,13,0.5,64,2,0.5,64,2,1000,23_06_17_06_48_12,cuda,63.02325581,68.43837214,83.16970547,39.76898734,70.56552747
0.0001,0.0001,0.0001,0.0001,150,4,512,128,13,0.5,96,2,0.5,64,2,1000,23_06_17_07_28_15,cuda,66.86046512,71.22717532,84.40392707,46.44303797,73.23528865
0.0001,0.0001,0.0001,0.0001,150,4,512,128,13,0.5,128,2,0.5,64,2,1000,23_06_17_08_08_12,cuda,67.20930233,71.88882848,77.0172978,55.71202532,71.44002829
0.0001,0.0001,0.0001,0.0001,150,4,512,128,13,0.5,160,2,0.5,64,2,1000,23_06_17_08_48_44,cuda,68.60465116,71.95604203,70.99111734,65.7943038,70.84516309
0.0001,0.0001,0.0001,0.0001,150,4,512,128,13,0.5,192,2,0.5,64,2,1000,23_06_17_09_29_18,cuda,68.37209302,72.28989132,69.02524544,67.54746835,70.0378705
0.0001,0.0001,0.0001,0.0001,150,4,512,128,13,0.5,224,2,0.5,64,2,1000,23_06_17_10_10_18,cuda,68.13953488,72.58811642,73.34735858,62,70.86404412
0.0001,0.0001,0.0001,0.0001,150,4,512,128,13,0.5,256,2,0.5,64,2,1000,23_06_17_10_50_34,cuda,69.41860465,73.17201657,76.40953717,61.29113924,72.87844803
0.0001,0.0001,0.0001,0.0001,150,4,512,128,14,0.5,32,2,0.5,64,2,1000,23_06_17_11_31_14,cuda,58.13953488,61.35695267,87.9312763,23.69620253,68.84650071
0.0001,0.0001,0.0001,0.0001,150,4,512,128,14,0.5,64,2,0.5,64,2,1000,23_06_17_12_11_56,cuda,65.23255814,68.81712811,86.36512389,40.71518987,72.80582244
0.0001,0.0001,0.0001,0.0001,150,4,512,128,14,0.5,96,2,0.5,64,2,1000,23_06_17_12_51_25,cuda,67.20930233,70.60372597,75.49088359,57.46835443,70.82641151
0.0001,0.0001,0.0001,0.0001,150,4,512,128,14,0.5,128,2,0.5,64,2,1000,23_06_17_13_30_58,cuda,67.55813953,70.29640389,70.98644226,63.5221519,69.94111171
0.0001,0.0001,0.0001,0.0001,150,4,512,128,14,0.5,160,2,0.5,64,2,1000,23_06_17_14_11_32,cuda,68.72093023,72.23355251,68.61617578,68.82911392,69.90684543
0.0001,0.0001,0.0001,0.0001,150,4,512,128,14,0.5,192,2,0.5,64,2,1000,23_06_17_14_51_15,cuda,68.02325581,71.77847842,69.45769051,66.27531646,69.92699669
0.0001,0.0001,0.0001,0.0001,150,4,512,128,14,0.5,224,2,0.5,64,2,1000,23_06_17_15_31_13,cuda,66.97674419,70.06155426,69.03693315,64.53164557,68.94694549
0.0001,0.0001,0.0001,0.0001,150,4,512,128,14,0.5,256,2,0.5,64,2,1000,23_06_17_16_10_31,cuda,69.30232558,71.35366587,72.02431043,66.01265823,71.26573514
0.0001,0.0001,0.0001,0.0001,150,4,512,128,15,0.5,32,2,0.5,64,2,1000,23_06_17_16_49_52,cuda,58.60465116,62.72594164,89.36652641,22.83227848,69.74677117
0.0001,0.0001,0.0001,0.0001,150,4,512,128,15,0.5,64,2,0.5,64,2,1000,23_06_17_17_30_25,cuda,61.97674419,64.5213652,76.7999065,44.69936709,67.66334935
0.0001,0.0001,0.0001,0.0001,150,4,512,128,15,0.5,96,2,0.5,64,2,1000,23_06_17_18_10_55,cuda,66.39534884,68.901947,79.8854605,50.75949367,71.70921133
0.0001,0.0001,0.0001,0.0001,150,4,512,128,15,0.5,128,2,0.5,64,2,1000,23_06_17_18_51_52,cuda,66.1627907,69.74467248,66.89574568,65.32278481,67.8063758
0.0001,0.0001,0.0001,0.0001,150,4,512,128,15,0.5,160,2,0.5,64,2,1000,23_06_17_19_33_11,cuda,66.86046512,70.63500075,66.19682094,67.50949367,67.64310612
0.0001,0.0001,0.0001,0.0001,150,4,512,128,15,0.5,192,2,0.5,64,2,1000,23_06_17_20_13_32,cuda,67.90697674,71.69823604,72.48714353,62.51265823,70.2778626
0.0001,0.0001,0.0001,0.0001,150,4,512,128,15,0.5,224,2,0.5,64,2,1000,23_06_17_20_54_09,cuda,67.3255814,71.39719018,65.14025245,69.79746835,67.19468884
0.0001,0.0001,0.0001,0.0001,150,4,512,128,15,0.5,256,2,0.5,64,2,1000,23_06_17_21_34_51,cuda,67.44186047,69.1746193,71.20617111,63.04746835,69.6691813
